# TODO: Translate to Simplified Chinese
# Source: static_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 760

"HASH_95863700": "升级根据地"
"HASH_5B40A480": "小绵羊"
"HASH_25827D80": "SLOW MOTION"
"HASH_474BE000": "合作"
"HASH_97757E01": "VIRUS INJECTION"
"HASH_21F1FD81": "I need Nyteblade"
"HASH_C72C3981": "Quests"
"HASH_3F7BC882": "冲锋枪"
"HASH_63354982": "武器升级 - 3 级"
"HASH_6976C602": "ST. JAMES"
"HASH_F1F76702": "SUPER CID"
"HASH_864E2982": "Audio"
"HASH_EB715802": "cocksucker"
"HASH_57512B03": "投掷"
"HASH_ACAFC683": "你无法脱下身上正穿着的那件内衣。"
"HASH_2B910703": "警告"
"HASH_03AE2803": "第三颜色"
"HASH_ACD3D883": "载具选项"
"HASH_CDCE7D83": "改装前你需要先把车修好。"
"HASH_FE9C7F03": "I need Asha Odekar"
"HASH_8F9C3603": "Summon C I D"
"HASH_77339E84": "穿戴物品"
"HASH_3F2C6184": "泥石流"
"HASH_C98EFB04": "[format][scale:1.0][image:map_store_clothing][/format]"
"HASH_A0AA6904": "VOICE COMMANDS"
"HASH_96BBA485": "VIRUS INJECTION"
"HASH_064F0105": "性能"
"HASH_C683E305": "No one can be told what this cheat is. You have to see it for yourself."
"HASH_602DB705": "TANK MAYHEM"
"HASH_FF056705": "Switch to Stomp"
"HASH_F1DDDD05": "Hard"
"HASH_BDC11985": "Online"
"HASH_6663FC06": "原厂"
"HASH_1C2F4306": "已解锁"
"HASH_DB06A306": "边缘工坊"
"HASH_0D1A0306": "洞穴探险家"
"HASH_E5524686": "妈咪与女孩"
"HASH_B5924B86": "REAL WORLD"
"HASH_10D3D806": "黄金枪"
"HASH_B7D11C86": "GIVE XP"
"pause_voice_tut": "VOICE COMMANDS"
"HASH_0B8D8E87": "颜色"
"HASH_5EA21107": "This will remove all your current clothes.\nAre you sure?"
"HASH_76966487": "SUPER TELEKINESIS"
"HASH_048D0B87": "I need Ben King"
"HASH_E0471F87": "Night Blade"
"HASH_9327FC07": "Options Menu"
"STAT_ENEMY_GANG_KILLED": "ALIEN KILLS"
