# TODO: Translate to Simplified Chinese
# Source: diversion_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 265

"HASH_B4A2E1C0": "CO-OP DEATH TAG"
"HASH_6656A5E0": "合作猫鼠游戏"
"HASH_87743980": "LEAVING [format][color:kill]HOTSPOT[/format] AREA"
"HASH_4B0972E0": "FLUSH SUBROUTINE"
"HASH_EB0A72C0": "灰木区"
"HASH_A2558760": "KILL THE [format][color:kill]TARGET[/format]"
"HASH_3400EA80": "车顶冲浪纪录"
"HASH_03E81A00": "时间到！"
"HASH_957D29E0": "合作生存"
"HASH_CA1F59A0": "You won {GAME_CASH}%.0f!  Press {PICKUP_RELOAD_IMG} to continue."
"HASH_5FE74040": "爆头"
"HASH_579680E0": "摧毁晨星帮载具"
"HASH_1C306B20": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_3F53A501": "FRAGMENTS COLLECTED"
"HASH_6F39F481": "Go to the location then wait for the TARGET to appear. \nDestroy the Test Visual to create rendering glitches."
"HASH_7A4CF4A1": "天体即时挑战全部关卡完成！"
"HASH_5E3B7BC1": "已完成"
"HASH_013B8361": "%s的分数："
"HASH_0E8F3C41": "坦克击杀"
"HASH_DEDC6AA1": "BEN KING AUDIO LOGS"
"HASH_88F04B22": "Go to the location then wait for the TARGET to appear. \nDestroy this Security Program to damage the system."
"Hitman_Targets": "目标"
"HASH_76DF20E2": "一名对家杀手已出动，抢在他之前干掉目标！"
"HASH_E896FC62": "挑衅"
"HASH_4612CB62": "杜克兄弟！"
"HASH_A5767562": "You won {GAME_CASH}%.0f!  Press {PICKUP_RELOAD_IMG} to play another round, or {ACTION_IMG} to quit."
"HASH_2826B762": "CAT & MOUSE"
"HASH_D56DE743": "MAERO"
"HASH_5E00F4C3": "%ls"
"HASH_8720B9A3": "COMBAT TRICKS"
"HASH_1EEE7A23": "特技跳跃 "
"HASH_A5C43C43": "继续挟持店员以取得现金"
"HASH_7BBA2CC3": "拆车坊"
"HASH_877F84C3": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_B4AEB924": "迪利警官"
"HASH_B2AF2D04": "Go to the location then wait for the TARGET to appear. \nDestroy the Invalid Mesh."
"HASH_8479E2C4": "萨兰德"
"HASH_35732044": "大腾空"
"HASH_ED77CA64": "商店抢劫"
"HASH_2517B884": "杜克兄弟！"
"HASH_D7FFAAA4": "MOUSE, GET TO THE CHECKPOINTS!"
"HASH_2CE98C05": "{SHOULDER_CAMERA_IMG} MUGGING\nKeep your weapon aimed at the person to force them to drop their cache."
"HASH_87BC5E05": "CLUSTERS"
"HASH_55A38AC5": "目标已消灭"
"HASH_B8F97765": "CHAPTER"
"HASH_27E6F2A5": "击杀："
"HASH_80735845": "Streaking level %d complete!  Earned {GAME_CASH}%.0f"
"HASH_29D130C5": "人肉鱼雷伤害纪录"
"HASH_173E8BE5": "痛扁"
"HASH_8560A245": "VIRUS COLLECTION"
"HASH_E5D357C5": "退出合作支线"
"HASH_DA807365": "ASHA AUDIO LOGS"
"HASH_B040EB26": "双轮"
"HASH_08711C46": "完成！"
"HASH_FE8DE0A6": "特技跳跃"
"HASH_09BEFC86": "加快速度，别让人质逃走"
"HASH_E23823E6": "你输了。按 {PICKUP_RELOAD_IMG} 再玩一局，或按 {ACTION_IMG} 退出。"
"HASH_DB70C446": "最远投掷"
"HASH_5F8EAAE6": "打蛋"
"HASH_E9F0FCA6": "GET BACK IN THE [format][color:location]VEHICLE[/format]"
"HASH_3BBFC407": "已接受拆车坊委托。完成当前任务或活动后，GPS 将启用。"
"HASH_556692A7": "Go to the location then wait for the TARGET to appear. \nDestroy this Security Program to damage the system."
"HASH_D795C787": "来一套 %ls %ls"
"HASH_550E96E7": "Streaking level %d complete!  Earned %d [format][color:purple]XP[/format]."
"HASH_E6616167": "即时挑战失败"
"HASH_0BC874E7": "THEIR SCORE:"
"HASH_42363FC7": " {ATTACK_PRIMARY_IMG} TO REVIVE IN CAT & MOUSE DIVERSION"
"HASH_FE294E67": "投掷"
"HASH_86395E07": "双轮纪录"
"HASH_0DBC27E7": "发现的地点"
"HASH_9EB7ACE7": "YOU KILLED %ls!"
"HASH_68EA1707": "VIRUS COLLECTION"
"HASH_DA3E50A7": "MAERO AUDIO LOGS"
"HASH_DCDBAB68": "ZINNIMDA"
"HASH_B0423168": "{ANALOG_LS_IMG} 在载具上保持平衡"
"HASH_A5B3DBA8": "人质逃脱"
"HASH_B0847228": "人盾击杀"
"HASH_1DAB99C8": "VIRUS COLLECTION"
"HASH_D566F3C8": "KINZIE AUDIO LOGS"
"HASH_F71C8D89": "GO TO [format][color:location]LOCATION[/format]"
"HASH_90730409": "双轮"
"HASH_5C755769": "波次完成！"
"HASH_E8870CC9": "时间："
"HASH_FEC9D649": "逆行纪录"
"HASH_89133BA9": "擦身而过"
"HASH_AB296C89": "HOSTAGE"
"HASH_EDCFD029": "已发现"
"HASH_0C549FC9": "你的搭档接下了这个拆车坊目标的合同！"
"HASH_07AA0D49": "{0}/{1} {2:text_tag_crc}"
"HASH_CB7D2D49": "烧胎时长纪录"
"HASH_6B6EC369": "VIRUS COLLECTION"
"HASH_7BA67589": "CYRUS AUDIO LOGS"
"HASH_8507110A": "TEXT ADVENTURE"
"HASH_03E0D40A": "翘头/翘尾"
"HASH_E055B64A": "连续险过纪录"
"HASH_861B33CA": "加快速度，别让人质逃走"
"HASH_65E0A08A": "你的得分："
"HASH_9696E60A": "PIERCE AUDIO LOGS"
"HASH_208BFB2A": "让准星保持对准店主"
"HASH_F1386C0B": "布里斯顿区"
"HASH_5E1CC2EB": "EXITING FLASHPOINT AREA"
"HASH_180D202B": "人肉鱼雷"
"HASH_86E4762B": "VIRUS COLLECTION"
"HASH_E538D64C": "SECURITY DELETION"
"HASH_D89252EC": "WAIT FOR [format][color:kill]TARGET[/format]"
"HASH_A50713CC": "RENDER CPU"
"HASH_D4F3B9CC": "人质任务完成"
"HASH_8BF36BCC": "人肉鱼雷距离纪录"
"HASH_CF609EEC": "击杀"
"HASH_A8DD3CEC": "爆炸击杀"
"HASH_2CB8926C": "高空高度纪录"
"HASH_6CB0F36C": "低空穿越"
"HASH_F23E0A0C": "Go to indicated hood, find and steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_0ED8B6AC": "VICE PRESIDENT AUDIO LOGS"
"HASH_2C03E82C": "TANYA AUDIO LOGS"
"HASH_CFE8E12D": "WINDSHIELD CANNON"
"HASH_B8A249ED": "STREAKING"
"HASH_B7B721ED": "纪录：近撞距离"
"HASH_74F49B6D": "所有人质都逃走了。"
"HASH_B1AEBB6D": "烧胎"
"HASH_0BC5D0CD": "高空空翻纪录"
"HASH_84FB50AD": "Go to indicated location, steal the Target Vehicle [image: ui_saintsbook_vehicle], then return it to the start point"
"HASH_DC43696D": "SHAUNDI AUDIO LOGS"
"HASH_1DCDB6AD": "FUN SHAUNDI AUDIO LOGS"
"HASH_5339DC4D": "JOHNNY GAT AUDIO LOGS"
"HASH_7E88DD2E": "Return the Vehicle [image: ui_saintsbook_vehicle] to the indicated location in one piece to collect the Virus code from it."
"HASH_263DD2EE": "S.T.A.G."
"HASH_A63EE0AE": "载具冲浪"
"HASH_1306134E": "尽可能贴着更多人天体！"
"HASH_B0FB28CE": "目标车辆被摧毁了！"
"HASH_63FD68CE": "VIRUS COLLECTED!"
"HASH_27EA0C4E": "载具改装花费"
"HASH_0E30046E": "碾杀距离纪录"
"HASH_6450DA4F": "Kill your partner before they kill you. \n\nWeapons change each round."
"HASH_3B63866F": "JULIUS LITTLE"
"HASH_D2F3984F": "Go to the location then wait for the TARGET to appear. \nDestroy the Render CPU to stop character visual security."
"HASH_3A4C308F": "贴地险飞"
"HASH_B036D8AF": "按照联络人的指示引出目标"
"HASH_68CABB2F": "%ls KILLED YOU!"
"HASH_E79A49AF": "再玩一次"
"HASH_69A50150": "已探索"
"HASH_5C39C5B0": "DRIVER BAILOUT"
"HASH_E0DA3030": "拆车坊"
"HASH_DCE94FF0": "加速才能活命！"
"HASH_DDFA8D70": "高空距离纪录"
"HASH_576410D0": "START DEATH TAG CO-OP ACTIVITY"
"HASH_F2173A30": "WAIT FOR [format][color:use]VEHICLE[/format]"
"HASH_B982AA90": "你开始了抢劫"
"HASH_C204D951": "DISABLE HOTSPOT"
"HASH_5F8B3E71": "平局。按 {PICKUP_RELOAD_IMG} 继续。"
"HASH_C1E79C31": "DEATH TAG"
"HASH_2F786D11": "人肉鱼雷总伤害"
"HASH_1FED2791": "VIRUS COLLECTION"
"HASH_8AE40251": "250 POINTS!"
"HASH_B3321771": "DJ VETERAN CHILD AUDIO LOGS"
"HASH_72164792": "Go to the location then wait for the TARGET to appear. \nDestroy this Security Program to damage the system."
"HASH_2741A712": "碾杀"
"HASH_84A2C872": "VIRUS COLLECTION"
"HASH_36E72452": "MATT MILLER AUDIO LOGS"
"HASH_1004F673": "逆向车道"
"HASH_3F2CC8B3": "已收取人质赎金"
"HASH_0ECB4EF3": "动力漂移纪录"
"HASH_30E212B3": "平局。按 {PICKUP_RELOAD_IMG} 进入下一轮，或按 {ACTION_IMG} 退出。"
"HASH_A3D3E854": "The Target [image: ui_saintsbook_hitman] has appeared, Destroy them!"
"HASH_925E2B34": "已接受职业杀手委托。完成当前任务或活动后，GPS 将启用。"
"HASH_6A43F2D4": "载具冲浪"
"HASH_BAFDCEF4": "痛扁"
"HASH_22EB42B4": "擦身而过"
"HASH_96777334": "探索"
"HASH_2935E714": "切片斩"
"HASH_604E9BD4": "动力漂移时间"
"HASH_6A6BEB94": "高空坠落纪录"
"HASH_88532935": "总计"
"HASH_DF8C0BF5": "目标在你动手前就死了！"
"HASH_A26AD7D5": "OLD PLAYER"
"HASH_FAF171D5": "逆向车道"
"HASH_C2867655": "DISABLE GENERATOR"
"HASH_2B3A27B5": "HOSTAGE"
"HASH_0CBD1C55": "拆车坊"
"HASH_80912B95": "翘尾纪录"
