# TODO: Translate to Simplified Chinese
# Source: customize_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 2702

"HASH_F5497400": "HIGHLY ILLOGICAL"
"HASH_5B0EF200": "ZERO SAINTS THIRTY"
"HASH_B5D00E00": "露肩"
"HASH_C1408E01": "GOLF CAP"
"cm_hair_shortstraight-01": "SHORT AND STRAIGHT"
"cf_foot_amazonboots": "AMAZON BOOTS"
"HASH_1FB01C01": "深绿"
"HASH_081DF801": "ARROGANCE"
"HASH_EA74F201": "唇部"
"HASH_F41BD202": "Pump-action class."
"HASH_32B6B202": "黄瓜酷炫"
"HASH_4655D602": "强力背心"
"HASH_DEBF9602": "发型"
"HASH_BF6F1203": "艳粉"
"HASH_E1854C03": "Boom ... headshot."
"HASH_C3BB5203": "忘穿裤子了？"
"cm_hair_highsculpted-01": "SOFT PSYCHOBILLY"
"HASH_74CEEA03": "漂白金发"
"HASH_4A342203": "朋克"
"HASH_6E2C4203": "潮人"
"HASH_54402803": "'MERICA"
"HASH_82E66404": "黑寡妇耳环"
"cm_hair_hifauxhawk": "HI FAUXHAWK"
"HASH_410DA204": "虹彩 1"
"HASH_32A1F404": "疣 4"
"HASH_0EE96605": "Put some bling bling in your bang bang."
"HASH_F2784C05": "BIG GAME"
"HASH_53DCD205": "耳垂高度"
"Planet Saints Outfit J": "PREPPY SLOUCH"
"HASH_B1703805": "肖恩蒂内裤"
"HASH_6A10B605": "MYSTERIOUS BEAUTY"
"HASH_B9E6A005": "红色 1"
"HASH_A2EDA406": "9MM TACTICAL"
"HASH_605E4806": "摩卡棕"
"HASH_35A5A407": "Industrial-strength ass-kicking"
"HASH_6BEE2C07": "淡紫染"
"HASH_0285EE07": ""
"HASH_057D9A07": "RAINBOW TOP"
"HASH_5BB8FE07": "紫罗兰 9"
"HASH_A9609C08": "FULL AUTO"
"HASH_1A88AE08": "Leaves no evidence behind."
"HASH_E5895608": "染色 60%%"
"HASH_35D2EC08": "未来战士靴"
"HASH_A8F72808": "蓝绿 4"
"HASH_3D408608": "胸部"
"HASH_8AB5DA09": "Greater fine-aim scope magnification"
"HASH_6FBD8609": "都市猎装有领衬衫"
"HASH_3538DC0A": "WHOA"
"HASH_A2D3DC0A": "曼哈顿风格"
"HASH_9389400A": "STAG 精英"
"HASH_BFA4A60B": "Stay out of trouble."
"HASH_A0F5820B": "晴空蓝"
"HASH_902C3C0B": "掀翻屋顶"
"HASH_A22C480B": "牛角"
"HASH_10603E0B": "绿色 3"
"HASH_4313460C": "5.0 眼镜"
"HASH_2516DC0C": "音乐发烧友"
"HASH_466DD40C": "太空公主靴"
"HASH_0BBF8C0D": "额头深度"
"HASH_F236220D": "眼球大小"
"Lets Pretend Male 35B": "GENERIC HERO"
"cm_hand_misfortune": "TECH GAUNTLETS"
"HASH_51D3AA0D": "纹身"
"HASH_2A98660E": "Solid."
"HASH_4841F60E": "侧视镜"
"HASH_F2E3740E": "金牙颜色"
"HASH_C64E320E": "贴花 2"
"HASH_5874640E": "哑光"
"cm_suit_m_rainbow": "RAINBOW RIDER"
"HASH_C7899C0E": "万象点缀"
"HASH_CABA9A0E": "妆容"
"HASH_42F2040F": "BLOODY BAND"
"HASH_3C697A0F": "JUNGLE CAMO"
"HASH_C722D80F": "等级 {0}"
"HASH_C99A640F": "变形棕"
"HASH_F3212E0F": "GENX 89"
"HASH_7F6E4C0F": "情圣"
"HASH_7814A00F": "红橙 4"
"HASH_AF8CCC0F": "蓝色 2"
"HASH_BA900A0F": "背包"
"HASH_863F7410": "GOLD RUSH"
"HASH_4C636E10": "The choice of all the financially successful smugglers"
"HASH_59CE2610": "饰品"
"HASH_C5D88010": "夜店衬衫"
"HASH_68D04210": "都市猎装背心"
"cm_ubdy_rustytee": "RUSTY'S NEEDLE TEE"
"HASH_4DC28011": "BIG BOOMS"
"HASH_F2975211": "GIMME TONGUE"
"HASH_74E35211": "Kind of a bitch to polish, though."
"HASH_450BF011": "DEK-RD RAILPISTOL"
"HASH_44D7AA11": "抹脖子"
"HASH_239EE211": "眼睛颜色"
"cm_hair_shortwidowspeak": "BOY CUT"
"HASH_994EA612": "DARK GREEN METAL"
"HASH_D5408E12": "熊猫装扮"
"HASH_CC58CE12": "摇滚腕带"
"HASH_3EE80212": "都市猎装配T恤"
"HASH_0BB5F412": "大伤疤 3"
"HASH_D6634412": "深棕发"
"HASH_170DFA12": "绿色 7"
"HASH_90149813": "Another marvel of ZinTek"
"HASH_32551813": "DROP THE MIC"
"HASH_399B5613": "水桶灰"
"HASH_76232213": "死核靴"
"cf_foot_strapshoes": "STRAP SHOES"
"HASH_D73B7A14": "身体"
"cm_toilet": "马桶"
"HASH_4C209815": "深蓝染"
"HASH_F7FE8C15": "兄弟帽"
"HASH_E42B8E15": "基础降落伞"
"cm_suit_spacesmuggler": "PUCKISH ROGUE OUTFIT"
"HASH_ED1DE616": "HOLOSKULL"
"HASH_E937FE16": "The bitch is back!"
"HASH_3549B016": "深鼠尾草绿"
"HASH_78038816": "ZERO TO SIXTY"
"Blonde": "金发"
"HASH_A8E10816": "蓝色 6"
"HASH_92F11017": "HEAVY METAL"
"HASH_F7B3B417": "Works best when hiding in blue jungles."
"HASH_9CA98E17": "It's easier to pull the trigger than play guitar."
"HASH_C123F617": "贴花 6"
"HASH_EF472617": "可调悬架"
"HASH_D5B78017": "STAG 头盔"
"HASH_33364217": "测试胡子"
"HASH_45AB6818": "后轮旋叶"
"HASH_ACAB3E18": "喷漆 3"
"HASH_5F2A0418": "内饰 3"
"HASH_57C5AE18": "皮革蕾丝腕带"
"HASH_1D0A4018": "皮革机车裤"
"HASH_2D057818": "50年代主妇"
"HASH_F224B019": "KEEP IT FRESH"
"HASH_4A6CAE19": "紫色火焰"
"HASH_823F9C19": "整条右臂"
"HASH_601ADA1A": "CHROME-PLATED"
"HASH_D0F1D61A": "鼻梁深度"
"HASH_1DD80E1A": "排气"
"HASH_CFA05E1A": "DARK TEAL METAL"
"HASH_7408121A": "氧化铜"
"HASH_99FFF01A": "女王手套"
"cm_lbdy_cargoshorts": "CARGO SHORTS"
"HASH_532DEC1A": "GECKO"
"HASH_43B3CA1B": "The weapon will now knockback vehicles."
"HASH_D9066C1B": "虹膜大小"
"HASH_2C6CBC1B": "眉骨深度"
"HASH_21E7801B": "公主粉"
"HASH_3AE6381B": "祖母绿"
"HASH_6B738A1B": "金牙"
"HASH_948F9A1B": "魅力女孩"
"HASH_4A35061B": "哔啵手镯"
"female_obese": "女·肥胖"
"HASH_BE8B641C": "红色 5"
"HASH_4FBBC41D": "We could make a bee pun here. But we won't."
"HASH_93D2E81D": "有货"
"HASH_15CF461D": "晨星帮耳环"
"HASH_2A6B741D": "大坏狼"
"HASH_0388E81D": "圣徒连帽衫（帽放下）"
"HASH_4660661D": "虹彩 5"
"HASH_2AEA401E": "MONEY SHOT"
"HASH_B80CEC1E": "惊讶"
"HASH_4CE85A1E": "深海蓝"
"HASH_1718DC1E": "碳钢"
"HASH_F452D41E": "深棕染"
"HASH_376EDC1E": "KRHYME 95.4"
"cm_hair_50scleancut": "REGULAR CUT"
"HASH_6190761F": "Brand-new and ready to do some damage"
"HASH_DD6F1C1F": "Because, you know, we already did red and blue."
"cf_hair_kungfubraid": "KUNG FU BRAID"
"HASH_38918420": "脸颊间距"
"HASH_90361E20": "腿部"
"HASH_999A7020": "阿帕奇"
"HASH_27C2FE20": "摩托党墨镜"
"HASH_39FF5E20": "入会成员"
"HASH_062A7A20": "休闲裙"
"HASH_0E645620": "歪向一边"
"cm_lp35o_suit_m_scigirl": "SCI FANTASY"
"cf_ubdy_camisole2": "糖果女孩背心"
"HASH_4E035020": "荣誉之道"
"HASH_AFDF6E20": "REBIRTH"
"HASH_372E1020": "痣须"
"HASH_80313821": "圆顶礼帽"
"HASH_E9A5D021": "圣徒风戒指"
"HASH_97E94C21": "蓝紫 3"
"HASH_27E6DA22": "MOLDY OLDY"
"HASH_D53DF822": "嘴部高低"
"HASH_62DC3C22": "后保险杠改装"
"HASH_BC6A8C22": "左侧"
"HASH_73915822": "轮辋套组 14"
"HASH_B6CE8022": "迷幻浩室帽"
"HASH_B8A04022": "口袋火箭夹克"
"HASH_1B37A022": "右指甲油"
"HASH_D9E37A23": "额头宽度"
"HASH_412FEC23": "RED METAL"
"HASH_77CF4023": "OG 连帽衫"
"cm_ubdy_sweatvoli": "VOLISKULL SWEATSHIRT"
"HASH_7145A023": "夜店客"
"HASH_A1416423": "蓝绿 8"
"HASH_00CD8E24": "MINIGUN ARM"
"HASH_B5D1AC24": "左上臂"
"HASH_9B96F024": "前保险杠改装"
"HASH_E08F8C24": "迷幻浩室戒指"
"HASH_71A2EC24": "红橙 8"
"HASH_6004DE25": "亚洲 2"
"HASH_1489CA25": "STRAIGHT LEG CLASSICS"
"HASH_CE3FD025": "第三街骑士"
"HASH_AA80BE26": "亚洲"
"HASH_7847B626": "痛苦"
"HASH_46399226": "SUPER PANDA"
"HASH_1DA8C626": "过气摇滚 T 恤"
"HASH_52DA0226": "丰臀长裤"
"HASH_975F0026": "NINJA2 GLOVES"
"BOUNTY HUNTER": "RANSOM COLLECTOR"
"HASH_74A6AE27": "Murder time, fun time!"
"HASH_69605A27": "高加索 3"
"cf_hair_frenchbraid-01": "FRENCH BRAID"
"HASH_32069427": "羽翼"
"HASH_F006A828": "前转轮毂"
"HASH_4512F628": "黄铜"
"Lets Pretend Female C": "钢埠女英雄"
"HASH_C5128628": "健身狂"
"cm_suit_f_goth": "GOTH FASHION"
"cm_lp35p_eyes_m_monoclel": "LEFT MONOCLE"
"HASH_BFEFB628": "摩托党"
"HASH_679A0E28": "巴尔博须"
"HASH_55408C29": "IMPULSE RIFLE"
"HASH_E8AD7029": "下巴高度"
"HASH_273FD229": "龙蓝"
"HASH_DA7FFC29": "PIMP HAT"
"HASH_693B9229": "曼巴皮夹克"
"HASH_6EFB0A29": "亮蓝"
"HASH_D487BC2A": "Manufactured by Currey Fluidistics, Ltd."
"HASH_F891922A": "Light 'em up."
"HASH_DD6D362A": "车顶"
"HASH_DCAE242A": "徽标"
"HASH_5D774C2A": "货主"
"HASH_90D6882A": "钢埠女英雄手套"
"cm_suit_m_roddy": "ROWDY RODDY PIPER SUIT"
"HASH_816E3C2A": "装甲皮肤"
"HASH_7B6FDA2B": "头顶"
"HASH_2635DE2B": "VOLITION"
"HASH_6A48BC2B": "整个背部"
"HASH_3295FE2C": "THIRD STREET SAINTS"
"HASH_3DBC5C2C": "头顶"
"HASH_033BB62C": "后轮"
"HASH_94F7082C": "丑爆墨镜"
"HASH_8385102C": "迪斯科珠链"
"HASH_5198CC2C": "灰色"
"HASH_26DD042C": "红棕发"
"HASH_520EB22C": "紫罗兰 5"
"HASH_6499EE2C": "指甲"
"HASH_0A15C22D": "ROGUE RED"
"HASH_F54C682D": "Astro A40 赛博帮耳机"
"HASH_BBDB1C2D": "钢埠街头帽"
"HASH_CB06DE2D": "爱妈妈"
"HASH_B28EBC2D": "黄色 6"
"HASH_A6E0AA2E": "挡泥板"
"HASH_FE34402E": "湿叶棕"
"HASH_449B982E": "坠入爱河"
"HASH_4D3BF22E": "华尔街"
"HASH_8C90CE2E": "哔啵手镯"
"HASH_16E6E42E": "GENERIC HERO SHIRT"
"HASH_B94A342F": "WARBIRD"
"HASH_0BF5E62F": "GRENADE LAUNCHER"
"HASH_CC54622F": "超亮白"
"cm_udwr_testtypeb": "!!TEST UNDERWEAR B!!"
"HASH_A94F7030": "Who knew the Saints used non-lethal weapons?"
"HASH_44BB3830": "BLUNDERBUSS"
"HASH_8A9EBA30": "棺材"
"HASH_3B6C2430": "若有若无圣徒丁字裤"
"HASH_07E86630": "私家侦探戒指"
"HASH_40B97C30": "吸汗带"
"cm_ubdy_sweatstilwater": "STILWATER SWEATSHIRT"
"cm_foot_bathslippers": "FUZZY SLIPPERS"
"HASH_C27F4231": "街头格斗者"
"HASH_61121E31": "OG 卫衣"
"HASH_E19D7431": "6 环"
"cf_hair_longstraight_04": "LONG AND PARTED"
"HASH_60F7CA31": "山羊胡"
"HASH_633A8A32": "GOLD-PLATED"
"HASH_9DD31032": "蒸汽朋克发明家"
"HASH_A39F2433": "The weapon no longer overheats. At all. Fire away."
"HASH_13A1EC33": "Chill out."
"HASH_AD386C33": "Warning: It doesn't come with a stun setting."
"HASH_ECC41233": "前部改装"
"HASH_752AF833": "饰条 1"
"HASH_66D2B033": "SHOWOFF V-NECK"
"HASH_39D91E33": "无瑕美人"
"HASH_07E5AC33": "棒球帽"
"cm_lbdy_postapocman": "APOCALYPTIC CARGOS"
"cf_hair_graduatedbob-01": "GRADUATED BOB"
"HASH_5201D833": "赛博帮"
"HASH_8603F833": "花之钥"
"HASH_F4D7A633": "亮紫"
"HASH_02AD2034": "鼻梁宽度"
"HASH_6048A034": "猫装"
"HASH_33E0B234": "船长帽"
"cm_lp35e_ubdy_m_entertain": "ENTERTAINER SHIRT"
"cm_hair_buzzmature": "THE BARRIOS"
"HASH_CC6B1A34": "8 位盖特"
"HASH_B5E37834": "黄色 2"
"HASH_18DC8E35": "Kills with this weapon add ammo back to its clip."
"HASH_FE304A35": "眉宽"
"HASH_7CF0DA35": "MR. PLEASANTVILLE"
"HASH_079B9835": "晨星帮士兵"
"HASH_9AE40635": "初成年"
"HASH_55637635": "紫罗兰 1"
"Spa Day": "SPA DAY"
"HASH_FA440A36": ""
"HASH_13789A36": "BONES"
"HASH_43F65C37": "遮点"
"HASH_15845037": "圣徒街头鞋"
"HASH_3E5B3A37": "腕带"
"HASH_C6064237": "KNUCKLE BOMB"
"HASH_B73D2837": "红色 9"
"HASH_CA31EE38": "鼻尖大小"
