# TODO: Translate to Simplified Chinese
# Source: hud_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 1392

"HASH_0FFDDB00": "招募兄弟"
"HASH_C3259200": "升级三秒压制据点后，你获得的所有声望额外增加 15%%。"
"HASH_FFA02200": "脑脑脑脑脑"
"dildo_bat": "按摩棒球棒"
"HASH_20C4C601": "在你的据点武器库中装备炸药包。"
"HASH_72B26801": "奖励 - 缓存增益 2"
"HASH_E3DBF401": "转账上限"
"HASH_FEEFB801": "钥匙大师"
"HASH_0F099502": "街头奔走"
"HASH_FDC5D403": "VTOL"
"HASH_BD97EB04": "边缘工坊"
"HASH_9E0B7A04": "{NITRO_IMG} 启动氮气加速"
"HASH_EB4BA904": "你被干掉了！\n当你失去全部生命值时，模拟程序会让你复活……但需付出代价。"
"HASH_8ED94604": "你有可下载内容可用。"
"HASH_06341304": "这是你的武器库。  \n在这里武装自己。"
"HASH_B8CC6604": "这个根据地归你了！\n在三秒压制据点进行自定义与升级，拓展圣徒的势力范围并获取丰厚升级奖励。"
"HASH_8BF31804": "伤害 - 火焰 4"
"HASH_8C5B8B05": "暗号现在是圣徒据点。在这里可以存取武器库、衣服，并定制你的帮派。"
"HASH_4AF8BB05": "工薪阶层的突击步枪。"
"HASH_7ECCEB05": "能量剑"
"HASH_74D15306": "这是一把特殊狙击步枪。"
"HASH_1FD25106": "齐莫斯"
"HASH_EA6B8C07": "近战 - 超级力量 3"
"HASH_18230F07": "将缓存转换为 12,000 经验值"
"HASH_89F63607": "转账上限"
"HASH_9476FB07": "一口气射出海量榴弹，把爆炸效果拉满。"
"HASH_ABD4BD07": "语音聊天"
"HASH_8BCBDA07": "英尺"
"HASH_D4630007": "金吉·完全体"
"HASH_98385308": "天体"
"HASH_55579908": "使用你的践踏能力摧毁一切！"
"HASH_6137B708": "所有随从生命值提升 30%%"
"HASH_10B27008": "小便池"
"HASH_63648008": "RPG 弹药"
"HASH_F80B8308": "修复你的载具需要 {GAME_CASH}%d"
"HASH_09C61C09": "{ACTION_IMG} 抢夺载具 \n{SPRINT_IMG} + {ACTION_IMG} 快速抢夺载具"
