// SR4R voice dict file 12/17
// Lines 11001-12000 of 16797
// Format: "English": "Chinese translation";

"This is amazing!": "太神奇了！";
"Where did Zinyak put Kinzie?": "齐尼亚克把金吉关哪儿了？";
"Sorry things ended this way.": "抱歉，事情落得这个下场。";
"Luchadores? What, you mean wrestlers?": "卢查多尔？什么，你是说摔跤手？";
"Oh, I got something special planned for him.": "哦，我给他准备了点特别的东西。";
"Of course I knocked it down, I'm in a robot...": "我当然把它砸了，我可是坐在机器人里……";
"Right, we'll see how that works out.  Get in there, CID.": "行，我们倒要看看结果如何。进去吧，C.I.D.。";
"This one's for Uncle Sam!": "这一拳献给山姆大叔！";
"I was great, right?  I mean, I know I was but I wanna hear it from you too.": "我刚才很棒对吧？我是说，我知道我很棒，但我想听你也这么说。";
"I'm at the... What the fuck?": "我在……什么鬼？";
"I AM NOT.": "我才不是！";
"You can do that? Without Matt?": "你能做到？不用马特？";
"I could if I had my superpowers.": "要是我还有超能力就能。";
"Wha--whoa this is... Why is my brain on fire?!": "什——哇，这是……我的脑子怎么跟烧起来似的？！";
"Is Cyrus really that bad of a guy?": "赛勒斯真有那么坏吗？";
"All right, but whether it works or not, we go after Veteran Child after.": "行，但不管成不成，办完事我们就去找老兵之子。";
"We should be fine now!": "我们现在应该安全了！";
"Matt. That is brilliant.": "马特。这主意太妙了。";
"What did they do now?": "他们这次又干了什么？";
"How do think I'm gonna jump up that?": "那你说我要怎么跳上去？";
"I'm...": "我……";
"Kinzie...?  Great...": "金吉……？搞什么……";
"You. Are so. Bloody. Dead.": "你。你死。定了。";
"When're you going to understand?  I can't be stopped.  Might as well just lay down and let all of me finish you off.": "你什么时候才明白？没人拦得住我。不如乖乖躺下，让我把你们一个个全收拾干净。";
"Ah, hah!  This Saint is going to have to rethink that.": "哈！这家伙怕是要重新考虑考虑能不能拦我了。";
"Power sources located, though unlocking them is proving difficult.  I need more time.": "电源已定位，但解锁它们有点棘手。我需要更多时间。";
"So by replications, you mean copies? Hold on. You mean clones?": "所以你说的复制是指拷贝？等等，你是说克隆人？";
"Fuck you, Zinyak.": "去你的，齐尼亚克。";
"I suppose you're right.": "我想你说得对。";
"Great, then let's get ba--": "好，那我们快——";
"Jesus Shaundi, you had me worried there for a minute.": "天啊莎蒂，刚才可真把我吓着了。";
"(And, lo, he brought water to the desert.)": "（看哪，他把水引到了沙漠。）";
"Right. Absolutely. Potential threats all over the place.": "对，绝对。到处都是潜在威胁。";
"Well, at least the janitor has job security.": "好吧，至少清洁工不愁没活干了。";
"Gosh, what a glorious day!": "天哪，多么美好的一天！";
"Fucking ass--": "妈的，你个混蛋——";
"Wait, is that a shield generator?": "等等，那是护盾发生器吗？";
"This is Shaundi's nightmare, Kinzie.  Trust me, this is where I'm supposed to be.": "这是莎蒂的噩梦，金吉。相信我，我本来就该在这儿。";
"Johnny, I'm telling you--": "强尼，我跟你说——";
"Good. Now get us the fuck out of here.": "好，现在快把我们弄出这个鬼地方。";
"The devil usually is...": "魔鬼一向如此……";
"Hey, the Saints are my crew. I'd take a bullet for any one of them.": "嘿，圣徒们是我的兄弟，我愿意为其中任何一个挡子弹。";
"To Hell with him, Kinzie.  Set me up with one of those training rooms.": "让他见鬼去吧，金吉。给我安排一间那种训练室。";
"Goodbye, Tanya.": "再见，塔尼娅。";
"But I'll try anything once...": "不过什么我都想试一次……";
"Capital idea, Madame Press Secretary.": "好主意，新闻秘书女士。";
"*sigh*  Your funeral...": "*叹气* 你的葬礼……";
"And, it is activated.": "好了，已经启动了。";
"Oh, lovely, lovely guns.": "哦，可爱的、可爱的枪。";
"Oh shit. Kinzie, prime the turrets.": "妈的。金吉，给炮塔充能。";
"Do I remem--PFFT.": "我记不记得——噗。";
"Then lets get my Chief of Staff back.": "那就把我的幕僚长带回来。";
"So, figured out what else you need?": "那么，还想到需要别的什么了吗？";
"God, you and Kinzie both with your technobabble...": "天哪，你和金吉都是满嘴技术黑话……";
"That sounds... compelling.": "听起来……挺吸引人的。";
"They haven't nabbed everyone. Good.": "他们没把所有人都抓走。很好。";
"Oh Lord, that's really not good...": "天哪，这可真不太妙……";
"All the same, what is it you hope to accomplish?  Mr. Miller is beyond your help.": "说到底，你还想达成什么目的？米勒先生已经没救了。";
"How'd you figure that out?": "你是怎么弄明白的？";
"What's this then?": "那这又是什么？";
"Yeah, it's her.": "对，就是她。";
"Kinzie...": "金吉...";
