# TODO: Translate to Simplified Chinese
# Source: multiplayer_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 73

"HASH_77038CC0": "房主目前不接收玩家。"
"HASH_64712CA0": "主机已离开游戏。"
"HASH_E734D720": "取消"
"HASH_19C21400": "A player's profile contains unsupported characters. These characters now appear as \\"%ls\\"."
"HASH_559BCAA1": "联机合作"
"HASH_8B3D1EA1": "退出"
"HASH_FFBC7D21": "将从另一个存档载入角色、服装与载具"
"HASH_EC4763C1": "%ls 在你执行任务期间无法加入。\n等你回到正常游玩后他们就会加入。"
"HASH_00739642": "轻微队友火力已开启！\n你现在可以对你的搭档造成一定伤害。"
"HASH_A4FAFC02": "你已断开连接！"
"HASH_698DA423": "INVITE SENT"
"HASH_3E1B6863": "队友火力已开启！\n你现在可以伤害你的搭档。"
"HASH_04E3AB43": "踢出玩家"
"HASH_5785DF24": "正在查找服务器"
"HASH_0A54BEC5": "A player's profile contains unsupported characters. These characters now appear as \\"_\\"."
"HASH_782F61A5": "继续"
"HASH_7898FE46": "退出游戏"
"HASH_86B77666": "主机已离开游戏。"
"HASH_61C04886": "等待房主接受连接。"
"HASH_F63BDBC7": "%ls 在你身处根据地时无法加入。\n当你回到正常游戏后他们就会加入。"
"HASH_BD0648E7": "%ls 在你执行活动期间无法加入。\n等你回到正常游玩后他们就会加入。"
"HASH_C5C23CA8": "You must be using the same version of Saints Row IV as the host to play LAN games.  Please make sure everyone has downloaded the latest title update."
"HASH_D7E3A668": "你已与游戏断开连接。"
"HASH_63B82EA8": "找不到任何游戏。"
"HASH_0C700928": "平局"
"HASH_C6230368": "载入角色"
"HASH_5A5A9A48": "%ls 正在等待加入。"
"HASH_6B08D0C9": "%ls 正在加入游戏"
"HASH_6162DF2A": "加入好友"
"HASH_5BA6A90B": "You must be using the same version of Saints Row IV as the host to play a co-op game.  Please make sure everyone has downloaded the latest title update."
"HASH_8C806C4B": "You must sign in to Xbox Live to access this feature."
"HASH_ECA4FBEB": "You have been signed out.\nReturning to title screen."
"HASH_4755614C": "你赢了"
"HASH_D570232D": "查找游戏"
"HASH_DE18EFEE": "多人游戏"
"HASH_4C65A66E": "联机合作"
"HASH_113E326E": "加入请求"
"HASH_65B006EF": "You must be using the same version of Saints Row IV as the host to play a co-op game.  Please make sure you have downloaded the latest patch."
"HASH_B88D65EF": "队友火力已关闭！\n你再也无法伤害你的搭档。"
"HASH_E45265F0": "Ethernet connection has been lost."
"HASH_D83A0B10": "正在加入服务器"
"HASH_AB504030": "%ls 想加入你的游戏。\n要让他加入吗？"
"HASH_1B8C9110": "%ls 在你观看过场动画期间无法加入。\n等你回到正常游玩后他们就会加入。"
"HASH_3E991051": "无法加入该游戏。"
"HASH_D6421631": "踢出玩家并继续游戏"
"HASH_24443411": "读取"
"HASH_47DACB11": "This Mission must be restarted to allow %ls to join your game right now.  By restarting you will lose all current checkpoint progress through this mission.\nContinue joining?"
"HASH_8184B8F2": "A connection error has occurred.\nYou are being returned to the title screen."
"HASH_F099B5B2": "INVITE FAILED"
"HASH_C602DD13": "You must be using the same version of Saints Row IV as the host to play a co-op game.  Please make sure everyone has downloaded the latest title update from Xbox Live."
"HASH_06862733": "无法加入该游戏。"
"HASH_23F07E33": "You've been disconnected from the host so you must be returned to the title screen.\nWould you like to save before exiting the level?"
"HASH_5EF3DB14": "保存并退出游戏"
"HASH_7E2A82D5": "拒绝"
"HASH_BF758775": "接受"
"HASH_C9B002D5": "Co-op player disconnected."
"HASH_DA984555": "你被踢出了游戏！"
"HASH_564B5EB7": "%ls 已离开游戏会话"
"HASH_4848E318": "You must be using the same version of Saints Row IV as the host to play System Link.  Please make sure everyone has downloaded the latest title update from Xbox Live."
"HASH_FC103A58": "请稍候……"
"HASH_C21AE398": "房主正忙，请你稍候……"
"HASH_5D268139": "你必须登录 Xbox Live 才能使用此功能。"
"HASH_1DFE01F9": "新建"
"HASH_BB8A835A": "正在搜索游戏。"
"HASH_ADD55D9B": "该游戏正在进行中或已满员。"
"HASH_1604971B": "正在重新连接 %ls"
"HASH_D96AAD1C": "A connection error has occurred.\nYou are being returned to the title screen."
"HASH_975DFE3D": "你必须登录一个档案才能使用此功能。"
"HASH_3E0C0D3D": "你输了"
"HASH_DD865FBD": "Invite sent to {0}."
"HASH_6627573D": "保存并继续游戏"
"HASH_C0C674BE": "无法向 {0} 发送邀请。"
"HASH_A03867DF": "你必须登录一个档案才能使用此功能。"
